% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.161	2	1	17	2	1	28	2292	0
0.328	1	6	33	9	1	28	277	0
0.328	1	3	33	9	2	28	277	0
0.328	1	4	33	9	3	28	277	0
0.328	1	9	33	9	4	28	277	0
0.328	1	7	33	9	9	28	277	0
0.328	1	2	33	9	10	28	277	0
0.328	1	10	33	9	11	28	277	0
0.328	1	1	33	9	12	28	277	0
0.163	2	1	17	4	1	28	2292	0
0.329	1	5	33	10	15	28	277	0
0.329	1	8	33	10	16	28	277	0
0.329	1	6	33	10	1	28	277	0
0.329	1	3	33	10	2	28	277	0
0.329	1	4	33	10	3	28	277	0
0.329	1	9	33	10	4	28	277	0
0.329	1	7	33	10	9	28	277	0
0.329	1	2	33	10	10	28	277	0
0.171	2	1	18	2	1	28	2292	0
0.173	2	1	18	4	1	28	2292	0
0.33	1	10	34	1	11	28	277	0
0.33	1	1	34	1	12	28	277	0
0.33	1	5	34	1	15	28	277	0
0.33	1	8	34	1	16	28	277	0
0.33	1	6	34	1	1	28	277	0
0.33	1	3	34	1	2	28	277	0
0.33	1	4	34	1	3	28	277	0
0.33	1	9	34	1	4	28	277	0
0.181	2	1	19	2	1	28	2292	0
0.183	2	1	19	4	1	28	2292	0
0.331	1	7	34	2	9	28	277	0
0.331	1	2	34	2	10	28	277	0
0.331	1	10	34	2	11	28	277	0
0.331	1	1	34	2	12	28	277	0
0.331	1	5	34	2	15	28	277	0
0.331	1	8	34	2	16	28	277	0
0.331	1	6	34	2	1	28	277	0
0.331	1	3	34	2	2	28	277	0
0.332	1	4	34	3	3	28	277	0
0.332	1	9	34	3	4	28	277	0
0.332	1	7	34	3	9	28	277	0
0.332	1	2	34	3	10	28	277	0
0.332	1	10	34	3	11	28	277	0
0.332	1	1	34	3	12	28	277	0
0.332	1	5	34	3	15	28	277	0
0.332	1	8	34	3	16	28	277	0
0.191	2	1	20	2	1	28	2292	0
0.193	2	1	20	4	1	28	2292	0
0.333	1	6	34	4	1	28	277	0
0.333	1	3	34	4	2	28	277	0
0.333	1	4	34	4	3	28	277	0
0.333	1	9	34	4	4	28	277	0
0.333	1	7	34	4	9	28	277	0
0.333	1	2	34	4	10	28	277	0
0.333	1	10	34	4	11	28	277	0
0.333	1	1	34	4	12	28	277	0
0.334	1	5	34	5	15	28	277	0
0.334	1	8	34	5	16	28	277	0
0.334	1	6	34	5	1	28	277	0
0.334	1	3	34	5	2	28	277	0
0.334	1	4	34	5	3	28	277	0
0.334	1	9	34	5	4	28	277	0
0.334	1	7	34	5	9	28	277	0
0.334	1	2	34	5	10	28	277	0
0.201	2	1	21	2	1	28	2292	0
0.203	2	1	21	4	1	28	2292	0
0.206	2	1	21	7	1	28	2292	0
0.335	1	10	34	6	11	28	277	0
0.335	1	1	34	6	12	28	277	0
0.335	1	5	34	6	15	28	277	0
0.335	1	8	34	6	16	28	277	0
0.335	1	6	34	6	1	28	277	0
0.335	1	3	34	6	2	28	277	0
0.335	1	4	34	6	3	28	277	0
0.335	1	9	34	6	4	28	277	0
0.211	2	1	22	2	1	28	2292	0
0.336	1	7	34	7	9	28	277	0
0.336	1	2	34	7	10	28	277	0
0.336	1	10	34	7	11	28	277	0
0.336	1	1	34	7	12	28	277	0
0.336	1	5	34	7	15	28	277	0
0.336	1	8	34	7	16	28	277	0
0.336	1	6	34	7	1	28	277	0
0.336	1	3	34	7	2	28	277	0
0.213	2	1	22	4	1	28	2292	0
0.337	1	4	34	8	3	28	277	0
0.337	1	9	34	8	4	28	277	0
0.337	1	7	34	8	9	28	277	0
0.337	1	2	34	8	10	28	277	0
0.337	1	10	34	8	11	28	277	0
0.337	1	1	34	8	12	28	277	0
0.337	1	5	34	8	15	28	277	0
0.337	1	8	34	8	16	28	277	0
0.221	2	1	23	2	1	28	2292	0
0.223	2	1	23	4	1	28	2292	0
0.338	1	6	34	9	1	28	277	0
0.338	1	3	34	9	2	28	277	0
0.338	1	4	34	9	3	28	277	0
0.338	1	9	34	9	4	28	277	0
0.338	1	7	34	9	9	28	277	0
0.338	1	2	34	9	10	28	277	0
0.338	1	10	34	9	11	28	277	0
0.338	1	1	34	9	12	28	277	0
0.231	2	1	24	2	1	28	2292	0
0.233	2	1	24	4	1	28	2292	0
0.339	1	5	34	10	15	28	277	0
0.339	1	8	34	10	16	28	277	0
0.339	1	6	34	10	1	28	277	0
0.339	1	3	34	10	2	28	277	0
0.339	1	4	34	10	3	28	277	0
0.339	1	9	34	10	4	28	277	0
0.339	1	7	34	10	9	28	277	0
0.339	1	2	34	10	10	28	277	0
0.34	1	10	35	1	11	28	277	0
0.34	1	1	35	1	12	28	277	0
0.34	1	5	35	1	15	28	277	0
0.34	1	8	35	1	16	28	277	0
0.34	1	6	35	1	1	28	277	0
0.34	1	3	35	1	2	28	277	0
0.34	1	4	35	1	3	28	277	0
0.34	1	9	35	1	4	28	277	0
0.241	2	1	25	2	1	28	2292	0
0.243	2	1	25	4	1	28	2292	0
0.341	1	7	35	2	9	28	277	0
0.341	1	2	35	2	10	28	277	0
0.341	1	10	35	2	11	28	277	0
0.341	1	1	35	2	12	28	277	0
0.341	1	5	35	2	15	28	277	0
0.341	1	8	35	2	16	28	277	0
0.341	1	6	35	2	1	28	277	0
0.341	1	3	35	2	2	28	277	0
0.251	2	1	26	2	1	28	2292	0
0.342	1	4	35	3	3	28	277	0
0.342	1	9	35	3	4	28	277	0
0.342	1	7	35	3	9	28	277	0
0.342	1	2	35	3	10	28	277	0
0.342	1	10	35	3	11	28	277	0
0.342	1	1	35	3	12	28	277	0
0.342	1	5	35	3	15	28	277	0
0.342	1	8	35	3	16	28	277	0
0.253	2	1	26	4	1	28	2292	0
0.343	1	6	35	4	1	28	277	0
0.343	1	3	35	4	2	28	277	0
0.343	1	4	35	4	3	28	277	0
0.343	1	9	35	4	4	28	277	0
0.343	1	7	35	4	9	28	277	0
0.343	1	2	35	4	10	28	277	0
0.343	1	10	35	4	11	28	277	0
0.343	1	1	35	4	12	28	277	0
0.261	2	1	27	2	1	28	2292	0
0.263	2	1	27	4	1	28	2292	0
0.344	1	5	35	5	15	28	277	0
0.344	1	8	35	5	16	28	277	0
0.344	1	6	35	5	1	28	277	0
0.344	1	3	35	5	2	28	277	0
0.344	1	4	35	5	3	28	277	0
0.344	1	9	35	5	4	28	277	0
0.344	1	7	35	5	9	28	277	0
0.344	1	2	35	5	10	28	277	0
0.271	2	1	28	2	1	28	2292	0
