% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
20.164	1	9	4	18.1275	0
20.165	1	6	5	1.9242	0
20.166	1	8	6	4.46179	0
20.167	1	3	7	12.1007	0
20.168	1	4	8	2.11418	0
20.169	1	1	9	29.7023	0
20.481	1	2	1	2.39149	0
20.482	1	7	2	1.62484	0
20.483	1	5	3	15.9179	0
20.484	1	9	4	18.1275	0
20.485	1	6	5	1.9242	0
20.486	1	8	6	4.46179	0
20.487	1	3	7	12.1007	0
20.488	1	4	8	2.11418	0
20.489	1	1	9	29.7023	0
20.801	1	2	1	2.39149	0
20.802	1	7	2	1.62484	0
20.803	1	5	3	15.9179	0
20.804	1	9	4	18.1275	0
20.805	1	6	5	1.9242	0
20.806	1	8	6	4.46179	0
20.807	1	3	7	12.1007	0
20.808	1	4	8	2.11418	0
20.809	1	1	9	29.7023	0
21.121	1	2	1	2.39149	0
21.122	1	7	2	1.62484	0
21.123	1	5	3	15.9179	0
21.124	1	9	4	18.1275	0
21.125	1	6	5	1.9242	0
21.126	1	8	6	4.46179	0
21.127	1	3	7	12.1007	0
21.128	1	4	8	2.11418	0
21.129	1	1	9	29.7023	0
21.441	1	2	1	2.39149	0
21.442	1	7	2	1.62484	0
21.443	1	5	3	15.9179	0
21.444	1	9	4	18.1275	0
21.445	1	6	5	1.9242	0
21.446	1	8	6	4.46179	0
21.447	1	3	7	12.1007	0
21.448	1	4	8	2.11418	0
21.449	1	1	9	29.7023	0
21.761	1	2	1	2.39149	0
21.762	1	7	2	1.62484	0
21.763	1	5	3	15.9179	0
21.764	1	9	4	18.1275	0
21.765	1	6	5	1.9242	0
21.766	1	8	6	4.46179	0
21.767	1	3	7	12.1007	0
21.768	1	4	8	2.11418	0
21.769	1	1	9	29.7023	0
22.081	1	2	1	2.39149	0
22.082	1	7	2	1.62484	0
22.083	1	5	3	15.9179	0
22.084	1	9	4	18.1275	0
22.085	1	6	5	1.9242	0
22.086	1	8	6	4.46179	0
22.087	1	3	7	12.1007	0
22.088	1	4	8	2.11418	0
22.089	1	1	9	29.7023	0
22.401	1	2	1	2.39149	0
22.402	1	7	2	1.62484	0
22.403	1	5	3	15.9179	0
22.404	1	9	4	18.1275	0
22.405	1	6	5	1.9242	0
22.406	1	8	6	4.46179	0
22.407	1	3	7	12.1007	0
22.408	1	4	8	2.11418	0
22.409	1	1	9	29.7023	0
22.721	1	2	1	2.39149	0
22.722	1	7	2	1.62484	0
22.723	1	5	3	15.9179	0
22.724	1	9	4	18.1275	0
22.725	1	6	5	1.9242	0
22.726	1	8	6	4.46179	0
22.727	1	3	7	12.1007	0
22.728	1	4	8	2.11418	0
22.729	1	1	9	29.7023	0
23.041	1	2	1	2.39149	0
23.042	1	7	2	1.62484	0
23.043	1	5	3	15.9179	0
23.044	1	9	4	18.1275	0
23.045	1	6	5	1.9242	0
23.046	1	8	6	4.46179	0
23.047	1	3	7	12.1007	0
23.048	1	4	8	2.11418	0
23.049	1	1	9	29.7023	0
23.361	1	2	1	2.39149	0
23.362	1	7	2	1.62484	0
23.363	1	5	3	15.9179	0
23.364	1	9	4	18.1275	0
23.365	1	6	5	1.9242	0
23.366	1	8	6	4.46179	0
23.367	1	3	7	12.1007	0
23.368	1	4	8	2.11418	0
23.369	1	1	9	29.7023	0
23.681	1	2	1	2.39149	0
23.682	1	7	2	1.62484	0
23.683	1	5	3	15.9179	0
23.684	1	9	4	18.1275	0
23.685	1	6	5	1.9242	0
23.686	1	8	6	4.46179	0
23.687	1	3	7	12.1007	0
23.688	1	4	8	2.11418	0
23.689	1	1	9	29.7023	0
24.001	1	2	1	2.39149	0
24.002	1	7	2	1.62484	0
24.003	1	5	3	15.9179	0
24.004	1	9	4	18.1275	0
24.005	1	6	5	1.9242	0
24.006	1	8	6	4.46179	0
24.007	1	3	7	12.1007	0
24.008	1	4	8	2.11418	0
24.009	1	1	9	29.7023	0
24.321	1	2	1	2.39149	0
24.322	1	7	2	1.62484	0
24.323	1	5	3	15.9179	0
24.324	1	9	4	18.1275	0
24.325	1	6	5	1.9242	0
24.326	1	8	6	4.46179	0
24.327	1	3	7	12.1007	0
24.328	1	4	8	2.11418	0
24.329	1	1	9	29.7023	0
24.641	1	2	1	2.39149	0
24.642	1	7	2	1.62484	0
24.643	1	5	3	15.9179	0
24.644	1	9	4	18.1275	0
24.645	1	6	5	1.9242	0
24.646	1	8	6	4.46179	0
24.647	1	3	7	12.1007	0
24.648	1	4	8	2.11418	0
24.649	1	1	9	29.7023	0
24.961	1	2	1	2.39149	0
24.962	1	7	2	1.62484	0
24.963	1	5	3	15.9179	0
24.964	1	9	4	18.1275	0
24.965	1	6	5	1.9242	0
24.966	1	8	6	4.46179	0
24.967	1	3	7	12.1007	0
24.968	1	4	8	2.11418	0
24.969	1	1	9	29.7023	0
25.281	1	2	1	2.39149	0
25.282	1	7	2	1.62484	0
25.283	1	5	3	15.9179	0
25.284	1	9	4	18.1275	0
25.285	1	6	5	1.9242	0
25.286	1	8	6	4.46179	0
25.287	1	3	7	12.1007	0
25.288	1	4	8	2.11418	0
25.289	1	1	9	29.7023	0
25.601	1	2	1	2.39149	0
25.602	1	7	2	1.62484	0
25.603	1	5	3	15.9179	0
25.604	1	9	4	18.1275	0
25.605	1	6	5	1.9242	0
25.606	1	8	6	4.46179	0
25.607	1	3	7	12.1007	0
25.608	1	4	8	2.11418	0
25.609	1	1	9	29.7023	0
25.921	1	2	1	2.39149	0
25.922	1	7	2	1.62484	0
25.923	1	5	3	15.9179	0
25.924	1	9	4	18.1275	0
25.925	1	6	5	1.9242	0
25.926	1	8	6	4.46179	0
25.927	1	3	7	12.1007	0
25.928	1	4	8	2.11418	0
25.929	1	1	9	29.7023	0
26.241	1	2	1	2.39149	0
26.242	1	7	2	1.62484	0
26.243	1	5	3	15.9179	0
26.244	1	9	4	18.1275	0
26.245	1	6	5	1.9242	0
26.246	1	8	6	4.46179	0
26.247	1	3	7	12.1007	0
26.248	1	4	8	2.11418	0
26.249	1	1	9	29.7023	0
26.561	1	2	1	2.39149	0
26.562	1	7	2	1.62484	0
26.563	1	5	3	15.9179	0
26.564	1	9	4	18.1275	0
26.565	1	6	5	1.9242	0
26.566	1	8	6	4.46179	0
26.567	1	3	7	12.1007	0
26.568	1	4	8	2.11418	0
26.569	1	1	9	29.7023	0
26.881	1	2	1	2.39149	0
26.882	1	7	2	1.62484	0
26.883	1	5	3	15.9179	0
26.884	1	9	4	18.1275	0
26.885	1	6	5	1.9242	0
26.886	1	8	6	4.46179	0
26.887	1	3	7	12.1007	0
26.888	1	4	8	2.11418	0
26.889	1	1	9	29.7023	0
27.201	1	2	1	2.39149	0
27.202	1	7	2	1.62484	0
27.203	1	5	3	15.9179	0
27.204	1	9	4	18.1275	0
27.205	1	6	5	1.9242	0
27.206	1	8	6	4.46179	0
27.207	1	3	7	12.1007	0
27.208	1	4	8	2.11418	0
27.209	1	1	9	29.7023	0
27.521	1	2	1	2.39149	0
27.522	1	7	2	1.62484	0
27.523	1	5	3	15.9179	0
27.524	1	9	4	18.1275	0
27.525	1	6	5	1.9242	0
27.526	1	8	6	4.46179	0
27.527	1	3	7	12.1007	0
27.528	1	4	8	2.11418	0
27.529	1	1	9	29.7023	0
27.841	1	2	1	2.39149	0
27.842	1	7	2	1.62484	0
27.843	1	5	3	15.9179	0
27.844	1	9	4	18.1275	0
27.845	1	6	5	1.9242	0
27.846	1	8	6	4.46179	0
27.847	1	3	7	12.1007	0
27.848	1	4	8	2.11418	0
27.849	1	1	9	29.7023	0
28.161	1	2	1	2.39149	0
28.162	1	7	2	1.62484	0
28.163	1	5	3	15.9179	0
28.164	1	9	4	18.1275	0
28.165	1	6	5	1.9242	0
28.166	1	8	6	4.46179	0
28.167	1	3	7	12.1007	0
28.168	1	4	8	2.11418	0
28.169	1	1	9	29.7023	0
28.481	1	2	1	2.39149	0
28.482	1	7	2	1.62484	0
28.483	1	5	3	15.9179	0
28.484	1	9	4	18.1275	0
28.485	1	6	5	1.9242	0
28.486	1	8	6	4.46179	0
28.487	1	3	7	12.1007	0
28.488	1	4	8	2.11418	0
28.489	1	1	9	29.7023	0
28.801	1	2	1	2.39149	0
28.802	1	7	2	1.62484	0
28.803	1	5	3	15.9179	0
28.804	1	9	4	18.1275	0
28.805	1	6	5	1.9242	0
28.806	1	8	6	4.46179	0
28.807	1	3	7	12.1007	0
28.808	1	4	8	2.11418	0
28.809	1	1	9	29.7023	0
29.121	1	2	1	2.39149	0
29.122	1	7	2	1.62484	0
29.123	1	5	3	15.9179	0
29.124	1	9	4	18.1275	0
29.125	1	6	5	1.9242	0
29.126	1	8	6	4.46179	0
29.127	1	3	7	12.1007	0
29.128	1	4	8	2.11418	0
29.129	1	1	9	29.7023	0
29.441	1	2	1	2.39149	0
29.442	1	7	2	1.62484	0
29.443	1	5	3	15.9179	0
29.444	1	9	4	18.1275	0
29.445	1	6	5	1.9242	0
29.446	1	8	6	4.46179	0
29.447	1	3	7	12.1007	0
29.448	1	4	8	2.11418	0
29.449	1	1	9	29.7023	0
29.761	1	2	1	2.39149	0
29.762	1	7	2	1.62484	0
29.763	1	5	3	15.9179	0
29.764	1	9	4	18.1275	0
29.765	1	6	5	1.9242	0
29.766	1	8	6	4.46179	0
29.767	1	3	7	12.1007	0
29.768	1	4	8	2.11418	0
29.769	1	1	9	29.7023	0
30.081	1	2	1	2.39149	0
30.082	1	7	2	1.62484	0
30.083	1	5	3	15.9179	0
30.084	1	9	4	18.1275	0
30.085	1	6	5	1.9242	0
30.086	1	8	6	4.46179	0
30.087	1	3	7	12.1007	0
30.088	1	4	8	2.11418	0
30.089	1	1	9	29.7023	0
30.401	1	2	1	2.39149	0
30.402	1	7	2	1.62484	0
30.403	1	5	3	15.9179	0
30.404	1	9	4	18.1275	0
30.405	1	6	5	1.9242	0
30.406	1	8	6	4.46179	0
30.407	1	3	7	12.1007	0
30.408	1	4	8	2.11418	0
30.409	1	1	9	29.7023	0
30.721	1	2	1	2.39149	0
30.722	1	7	2	1.62484	0
30.723	1	5	3	15.9179	0
30.724	1	9	4	18.1275	0
30.725	1	6	5	1.9242	0
30.726	1	8	6	4.46179	0
30.727	1	3	7	12.1007	0
30.728	1	4	8	2.11418	0
30.729	1	1	9	29.7023	0
31.041	1	2	1	2.39149	0
31.042	1	7	2	1.62484	0
31.043	1	5	3	15.9179	0
31.044	1	9	4	18.1275	0
31.045	1	6	5	1.9242	0
31.046	1	8	6	4.46179	0
31.047	1	3	7	12.1007	0
31.048	1	4	8	2.11418	0
31.049	1	1	9	29.7023	0
31.361	1	2	1	2.39149	0
31.362	1	7	2	1.62484	0
31.363	1	5	3	15.9179	0
31.364	1	9	4	18.1275	0
31.365	1	6	5	1.9242	0
31.366	1	8	6	4.46179	0
31.367	1	3	7	12.1007	0
31.368	1	4	8	2.11418	0
31.369	1	1	9	29.7023	0
31.681	1	2	1	2.39149	0
31.682	1	7	2	1.62484	0
31.683	1	5	3	15.9179	0
31.684	1	9	4	18.1275	0
31.685	1	6	5	1.9242	0
31.686	1	8	6	4.46179	0
31.687	1	3	7	12.1007	0
31.688	1	4	8	2.11418	0
31.689	1	1	9	29.7023	0
32.001	1	2	1	2.39149	0
32.002	1	7	2	1.62484	0
32.003	1	5	3	15.9179	0
32.004	1	9	4	18.1275	0
32.005	1	6	5	1.9242	0
32.006	1	8	6	4.46179	0
32.007	1	3	7	12.1007	0
32.008	1	4	8	2.11418	0
32.009	1	1	9	29.7023	0
32.321	1	2	1	2.39149	0
32.322	1	7	2	1.62484	0
32.323	1	5	3	15.9179	0
32.324	1	9	4	18.1275	0
32.325	1	6	5	1.9242	0
32.326	1	8	6	4.46179	0
32.327	1	3	7	12.1007	0
32.328	1	4	8	2.11418	0
32.329	1	1	9	29.7023	0
32.641	1	2	1	2.39149	0
32.642	1	7	2	1.62484	0
32.643	1	5	3	15.9179	0
32.644	1	9	4	18.1275	0
32.645	1	6	5	1.9242	0
32.646	1	8	6	4.46179	0
32.647	1	3	7	12.1007	0
32.648	1	4	8	2.11418	0
32.649	1	1	9	29.7023	0
32.961	1	2	1	2.39149	0
32.962	1	7	2	1.62484	0
32.963	1	5	3	15.9179	0
32.964	1	9	4	18.1275	0
32.965	1	6	5	1.9242	0
32.966	1	8	6	4.46179	0
32.967	1	3	7	12.1007	0
32.968	1	4	8	2.11418	0
32.969	1	1	9	29.7023	0
33.281	1	2	1	2.39149	0
33.282	1	7	2	1.62484	0
33.283	1	5	3	15.9179	0
33.284	1	9	4	18.1275	0
33.285	1	6	5	1.9242	0
33.286	1	8	6	4.46179	0
33.287	1	3	7	12.1007	0
33.288	1	4	8	2.11418	0
33.289	1	1	9	29.7023	0
33.601	1	2	1	2.39149	0
33.602	1	7	2	1.62484	0
33.603	1	5	3	15.9179	0
33.604	1	9	4	18.1275	0
33.605	1	6	5	1.9242	0
33.606	1	8	6	4.46179	0
33.607	1	3	7	12.1007	0
33.608	1	4	8	2.11418	0
33.609	1	1	9	29.7023	0
33.921	1	2	1	2.39149	0
33.922	1	7	2	1.62484	0
33.923	1	5	3	15.9179	0
33.924	1	9	4	18.1275	0
33.925	1	6	5	1.9242	0
33.926	1	8	6	4.46179	0
33.927	1	3	7	12.1007	0
33.928	1	4	8	2.11418	0
33.929	1	1	9	29.7023	0
34.241	1	2	1	2.39149	0
34.242	1	7	2	1.62484	0
34.243	1	5	3	15.9179	0
34.244	1	9	4	18.1275	0
34.245	1	6	5	1.9242	0
34.246	1	8	6	4.46179	0
34.247	1	3	7	12.1007	0
34.248	1	4	8	2.11418	0
34.249	1	1	9	29.7023	0
34.561	1	2	1	2.39149	0
34.562	1	7	2	1.62484	0
34.563	1	5	3	15.9179	0
34.564	1	9	4	18.1275	0
34.565	1	6	5	1.9242	0
34.566	1	8	6	4.46179	0
34.567	1	3	7	12.1007	0
34.568	1	4	8	2.11418	0
34.569	1	1	9	29.7023	0
34.881	1	2	1	2.39149	0
34.882	1	7	2	1.62484	0
34.883	1	5	3	15.9179	0
34.884	1	9	4	18.1275	0
34.885	1	6	5	1.9242	0
34.886	1	8	6	4.46179	0
34.887	1	3	7	12.1007	0
34.888	1	4	8	2.11418	0
34.889	1	1	9	29.7023	0
35.201	1	2	1	2.39149	0
35.202	1	7	2	1.62484	0
35.203	1	5	3	15.9179	0
35.204	1	9	4	18.1275	0
35.205	1	6	5	1.9242	0
35.206	1	8	6	4.46179	0
35.207	1	3	7	12.1007	0
35.208	1	4	8	2.11418	0
35.209	1	1	9	29.7023	0
35.521	1	2	1	2.39149	0
35.522	1	7	2	1.62484	0
35.523	1	5	3	15.9179	0
35.524	1	9	4	18.1275	0
35.525	1	6	5	1.9242	0
35.526	1	8	6	4.46179	0
35.527	1	3	7	12.1007	0
35.528	1	4	8	2.11418	0
35.529	1	1	9	29.7023	0
35.841	1	2	1	2.39149	0
35.842	1	7	2	1.62484	0
35.843	1	5	3	15.9179	0
35.844	1	9	4	18.1275	0
35.845	1	6	5	1.9242	0
35.846	1	8	6	4.46179	0
35.847	1	3	7	12.1007	0
35.848	1	4	8	2.11418	0
35.849	1	1	9	29.7023	0
36.161	1	2	1	2.39149	0
36.162	1	7	2	1.62484	0
36.163	1	5	3	15.9179	0
36.164	1	9	4	18.1275	0
36.165	1	6	5	1.9242	0
36.166	1	8	6	4.46179	0
36.167	1	3	7	12.1007	0
36.168	1	4	8	2.11418	0
36.169	1	1	9	29.7023	0
36.481	1	2	1	2.39149	0
36.482	1	7	2	1.62484	0
36.483	1	5	3	15.9179	0
36.484	1	9	4	18.1275	0
36.485	1	6	5	1.9242	0
36.486	1	8	6	4.46179	0
36.487	1	3	7	12.1007	0
36.488	1	4	8	2.11418	0
36.489	1	1	9	29.7023	0
36.801	1	2	1	2.39149	0
36.802	1	7	2	1.62484	0
36.803	1	5	3	15.9179	0
36.804	1	9	4	18.1275	0
36.805	1	6	5	1.9242	0
36.806	1	8	6	4.46179	0
36.807	1	3	7	12.1007	0
36.808	1	4	8	2.11418	0
36.809	1	1	9	29.7023	0
37.121	1	2	1	2.39149	0
37.122	1	7	2	1.62484	0
37.123	1	5	3	15.9179	0
37.124	1	9	4	18.1275	0
37.125	1	6	5	1.9242	0
37.126	1	8	6	4.46179	0
37.127	1	3	7	12.1007	0
37.128	1	4	8	2.11418	0
37.129	1	1	9	29.7023	0
37.441	1	2	1	2.39149	0
37.442	1	7	2	1.62484	0
