% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
26462	1	4	8	0	4	453	0	1	0
28462	1	4	8	0	4	453	0	1	0
28526	1	7	2	0	2	277	0	1	0
28579	1	4	8	0	4	453	0	1	0
29579	1	4	8	0	4	453	0	1	0
29696	1	4	8	0	4	453	0	1	0
29913	1	4	8	0	4	453	0	1	0
30130	1	4	8	0	4	453	0	1	0
30347	1	4	8	0	4	453	0	1	0
30564	1	4	8	0	4	453	0	1	0
30781	1	4	8	0	4	453	0	1	0
30998	1	4	8	0	4	453	0	1	0
31352	1	9	4	0	14	1620	0	1	0
31469	1	9	4	0	14	1620	0	1	0
31998	1	4	8	0	4	453	0	1	0
32115	1	4	8	0	4	453	0	1	0
32332	1	4	8	0	4	453	0	1	0
32469	1	9	4	0	14	1620	0	1	0
33053	1	2	1	0	4	453	0	1	0
33332	1	4	8	0	4	453	0	1	0
34469	1	9	4	0	14	1620	0	1	0
35332	1	4	8	0	4	453	0	1	0
35449	1	4	8	0	4	453	0	1	0
36130	1	8	6	0	6	645	0	1	0
36449	1	4	8	0	4	453	0	1	0
36526	1	7	2	0	2	277	0	1	0
36566	1	4	8	0	4	453	0	1	0
37566	1	4	8	0	4	453	0	1	0
37683	1	4	8	0	4	453	0	1	0
38469	1	9	4	0	14	1620	0	1	0
38683	1	4	8	0	4	453	0	1	0
38800	1	4	8	0	4	453	0	1	0
39800	1	4	8	0	4	453	0	1	0
39917	1	4	8	0	4	453	0	1	0
40917	1	4	8	0	4	453	0	1	0
41122	1	5	3	0	14	1620	0	1	0
42917	1	4	8	0	4	453	0	1	0
45706	1	3	7	0	12	1239	0	1	0
46128	1	1	9	0	16	1908	0	1	0
46259	1	6	5	0	4	453	0	1	0
46469	1	9	4	0	14	1620	0	1	0
46586	1	9	4	0	14	1620	0	1	0
46803	1	9	4	0	14	1620	0	1	0
46917	1	4	8	0	4	453	0	1	0
47034	1	4	8	0	4	453	0	1	0
47251	1	4	8	0	4	453	0	1	0
47468	1	4	8	0	4	453	0	1	0
47685	1	4	8	0	4	453	0	1	0
47803	1	9	4	0	14	1620	0	1	0
47902	1	4	8	0	4	453	0	1	0
47920	1	9	4	0	14	1620	0	1	0
48902	1	4	8	0	4	453	0	1	0
48920	1	9	4	0	14	1620	0	1	0
49019	1	4	8	0	4	453	0	1	0
49037	1	9	4	0	14	1620	0	1	0
49236	1	4	8	0	4	453	0	1	0
49453	1	4	8	0	4	453	0	1	0
50037	1	9	4	0	14	1620	0	1	0
50453	1	4	8	0	4	453	0	1	0
50570	1	4	8	0	4	453	0	1	0
50787	1	4	8	0	4	453	0	1	0
51004	1	4	8	0	4	453	0	1	0
51221	1	4	8	0	4	453	0	1	0
52037	1	9	4	0	14	1620	0	1	0
52221	1	4	8	0	4	453	0	1	0
52338	1	4	8	0	4	453	0	1	0
52526	1	7	2	0	2	277	0	1	0
52527	1	7	2	0	2	277	0	1	0
53338	1	4	8	0	4	453	0	1	0
53455	1	4	8	0	4	453	0	1	0
53672	1	4	8	0	4	453	0	1	0
